0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,state,total
0.0,7796.0,5575.0,5264.0,19658.0,4901.0,4228.0,1297.0,881.0,73686.0,99666.0,3657.0,2228.0,18519.0,11975.0,2201.0,3379.0,11411.0,13021.0,1552.0,7504.0,1957.0,14194.0,2573.0,31777.0,6584.0,1640.0,1263.0,2667.0,324.0,5461.0,3470.0,12701.0,23016.0,868.0,13172.0,4032.0,1207.0,6460.0,2566.0,17728.0,1339.0,35464.0,32175.0,5087.0,300.0,14924.0,5673.0,384.0,3783.0,433.0,Alabama,551621.0
3629.0,0.0,7359.0,1045.0,17152.0,7888.0,473.0,97.0,557.0,8856.0,7657.0,5078.0,3206.0,3714.0,1868.0,871.0,2110.0,2199.0,3439.0,813.0,2598.0,664.0,3568.0,3179.0,1104.0,3398.0,2802.0,1455.0,2358.0,1008.0,1217.0,1600.0,3343.0,5120.0,445.0,3817.0,3131.0,9734.0,1881.0,375.0,3774.0,1771.0,1886.0,10844.0,7249.0,506.0,5242.0,14148.0,346.0,761.0,544.0,Alaska,177879.0
5112.0,18494.0,0.0,5097.0,236568.0,47827.0,5218.0,1649.0,1545.0,28756.0,17453.0,13375.0,13571.0,53404.0,20155.0,16135.0,10420.0,6882.0,6801.0,2544.0,9286.0,7248.0,44370.0,29067.0,2679.0,17408.0,8128.0,11409.0,43918.0,2378.0,13636.0,31208.0,29521.0,16311.0,4807.0,26334.0,11050.0,33368.0,19444.0,2467.0,19477.0,13985.0,13169.0,64444.0,43898.0,1958.0,15975.0,55848.0,2213.0,27044.0,8320.0,Arizona,1141374.0
2913.0,4510.0,4919.0,0.0,21821.0,7938.0,2178.0,79.0,689.0,14342.0,10852.0,656.0,1547.0,17356.0,5287.0,2586.0,11078.0,7662.0,19457.0,471.0,2543.0,1449.0,7004.0,2168.0,12665.0,36664.0,1097.0,1227.0,3256.0,578.0,1327.0,2105.0,6062.0,8069.0,214.0,5410.0,38736.0,2648.0,2362.0,885.0,16158.0,1509.0,17595.0,53369.0,1387.0,29.0,3871.0,2627.0,258.0,3355.0,2636.0,Arkansas,375604.0
13807.0,37721.0,179027.0,17518.0,0.0,85006.0,24519.0,3172.0,15896.0,108179.0,55505.0,57950.0,29484.0,94943.0,32324.0,15910.0,18919.0,14249.0,18704.0,7030.0,48007.0,59687.0,51338.0,33823.0,12371.0,37124.0,13917.0,11981.0,154081.0,7178.0,46858.0,29804.0,134658.0,51156.0,5062.0,43696.0,23975.0,103200.0,41869.0,10154.0,57271.0,17816.0,26978.0,163428.0,77808.0,3678.0,65378.0,139954.0,6104.0,28115.0,7635.0,California,2343967.0
11102.0,11694.0,53390.0,7390.0,116412.0,0.0,5548.0,1861.0,2400.0,42072.0,26699.0,9924.0,9065.0,32565.0,17566.0,14146.0,23788.0,8603.0,10502.0,3430.0,12548.0,15076.0,19557.0,17173.0,5105.0,20705.0,12061.0,20694.0,19799.0,3072.0,9552.0,33244.0,27686.0,21497.0,6170.0,19780.0,21214.0,17731.0,15212.0,3205.0,24858.0,10853.0,9975.0,89660.0,25567.0,2924.0,22778.0,29763.0,2741.0,14616.0,21687.0,Colorado,984660.0
3343.0,2811.0,7638.0,632.0,20586.0,5297.0,0.0,1974.0,1832.0,32610.0,8969.0,1944.0,377.0,9700.0,2183.0,175.0,992.0,1064.0,1362.0,2611.0,8574.0,41725.0,4029.0,2404.0,730.0,1296.0,391.0,107.0,1114.0,8758.0,20868.0,1138.0,106416.0,8985.0,0.0,5580.0,967.0,1224.0,19613.0,9238.0,5998.0,425.0,2984.0,10855.0,2039.0,2396.0,8758.0,6809.0,1287.0,3990.0,395.0,Connecticut,395193.0
693.0,1504.0,1283.0,0.0,4658.0,599.0,3680.0,0.0,971.0,5842.0,3129.0,201.0,473.0,2093.0,334.0,30.0,196.0,648.0,481.0,419.0,27361.0,3558.0,764.0,811.0,462.0,1809.0,73.0,294.0,678.0,511.0,24192.0,456.0,17836.0,3852.0,0.0,2492.0,118.0,55.0,33701.0,859.0,1607.0,496.0,874.0,4649.0,655.0,47.0,4637.0,888.0,412.0,55.0,463.0,Delaware,161899.0
971.0,2792.0,1718.0,377.0,18408.0,2627.0,4410.0,1113.0,0.0,7641.0,6010.0,894.0,114.0,4930.0,1523.0,826.0,348.0,663.0,1141.0,660.0,60949.0,7589.0,3059.0,1083.0,127.0,1101.0,148.0,392.0,427.0,659.0,7815.0,588.0,17667.0,7127.0,383.0,2243.0,212.0,1288.0,7785.0,2429.0,2212.0,383.0,2310.0,10947.0,507.0,1118.0,33585.0,1454.0,2524.0,2454.0,218.0,District of Columbia ,237949.0
66524.0,40735.0,32488.0,13745.0,113839.0,42478.0,50616.0,10388.0,6087.0,0.0,186248.0,11312.0,4582.0,97604.0,63061.0,15237.0,19650.0,32965.0,30596.0,25264.0,57915.0,75300.0,103699.0,26163.0,30208.0,43330.0,4059.0,9824.0,18707.0,21209.0,121744.0,8969.0,276209.0,120449.0,2171.0,106108.0,16035.0,12574.0,109969.0,22995.0,64832.0,5259.0,54162.0,121958.0,18147.0,11954.0,86737.0,22253.0,24015.0,37111.0,2342.0,Florida,2499826.0
